,id,name,address,city_name,county_name,town_name,x,y,data_type,h_code
38,4993,고려약국,"서울특별시 강동구 천호대로 1125, ",서울,강동구,길동,127.136811289055,37.5348955130334,약국,1174068500.0
39,5141,강동성실약국,"서울특별시 강동구 진황도로 81, 강동투웨니퍼스트 1층 101호 ",서울,강동구,길동,127.135707130269,37.5367040128134,약국,1174068500.0
40,5410,행복약국,"서울특별시 강동구 천호대로 1113, 기연빌딩 1층 ",서울,강동구,길동,127.135394068183,37.535270160408,약국,1174068500.0
41,1856,더나은약국,"서울특별시 광진구 천호대로 570, 1층 101호 ",서울,광진구,능동,127.081004919055,37.5560401741942,약국,1121578000.0
42,2114,성원약국,"서울특별시 광진구 천호대로122길 16, 1층 ",서울,광진구,능동,127.087614902451,37.5528867382517,약국,1121578000.0
43,3308,군자역우리약국,"서울특별시 광진구 천호대로 556, 1층 ",서울,광진구,능동,127.079702343554,37.5567339275651,약국,1121578000.0
44,3633,늘좋은약국,"서울특별시 광진구 능동로 290, 삼일빌딩 1층 ",서울,광진구,능동,127.078979184085,37.5555832993412,약국,1121578000.0
45,3969,군자백화점약국,"서울특별시 광진구 천호대로 574, ",서울,광진구,능동,127.081528661298,37.556014405587,약국,1121578000.0
46,4707,광해약국,"서울특별시 광진구 능동로 298, ",서울,광진구,능동,127.079304808205,37.5562465755289,약국,1121578000.0
47,5371,하나약국,"서울특별시 광진구 천호대로 632, 노블레스 빌 1층 101 일부호 ",서울,광진구,능동,127.087359969705,37.5536949418835,약국,1121578000.0
48,2886,홍신약국,"서울특별시 중구 남대문로9길 40, 센터플레이스 108-1호 ",서울,중구,다동,126.980368823536,37.5671421016237,약국,1114055000.0
49,4074,신라약국,"서울특별시 중구 남대문로9길 16, ",서울,중구,다동,126.981549594851,37.5668360435641,약국,1114055000.0
50,116,예주약국,"서울특별시 양천구 목동서로 67, 109,110호 ",서울,양천구,목동,126.878557,37.5363941,약국,1147055000.0
51,1290,레스큐약국,"서울특별시 양천구 목동서로 49, ",서울,양천구,목동,126.880503914142,37.5370742706805,약국,1147055000.0
52,1662,목동벧엘약국,"서울특별시 양천구 목동동로 430, ",서울,양천구,목동,126.884393234385,37.5352056837361,약국,1147055000.0
53,1892,메디팜금빛약국,"서울특별시 양천구 목동동로 379, ",서울,양천구,목동,126.878713495139,37.5356098520363,약국,1147055000.0
54,2230,미라클약국,"서울특별시 양천구 목동동로 379, 113호 ",서울,양천구,목동,126.878713495139,37.5356098520363,약국,1147055000.0
55,2510,월드약국,"서울특별시 양천구 목동서로 77, ",서울,양천구,목동,126.877988123429,37.5359631978743,약국,1147055000.0
56,3407,목동정문약국,"서울특별시 양천구 목동동로 435, ",서울,양천구,목동,126.884868815732,37.5373858477879,약국,1147055000.0
57,3714,새목동약국,"서울특별시 양천구 목동서로 37, ",서울,양천구,목동,126.88167161741,37.5374776528581,약국,1147055000.0
58,3724,동의림생약국,"서울특별시 양천구 목동서로 133-2, ",서울,양천구,목동,126.875987719154,37.5316029751694,약국,1147055000.0
59,3741,경남약국,"서울특별시 양천구 목동서로 38, 상가A동 107호, 113호 ",서울,양천구,목동,126.87850378726,37.5412913406969,약국,1147055000.0
60,4001,영민약국,"서울특별시 양천구 목동동로 430, ",서울,양천구,목동,126.884393234385,37.5352056837361,약국,1147055000.0
61,4356,해든이화약국,"서울특별시 양천구 목동동로 435, 103,104호 ",서울,양천구,목동,126.884868815732,37.5373858477879,약국,1147055000.0
62,415,보현약국,"서울특별시 양천구 목동중앙남로4길 9, ",서울,양천구,목동,126.867630621267,37.5367178023483,약국,1147054000.0
63,484,청송온누리약국,"서울특별시 양천구 목동중앙본로7길 45, 108호 ",서울,양천구,목동,126.866336562907,37.5391374210157,약국,1147054000.0
64,737,밝은약국,"서울특별시 양천구 등촌로 32, 목동 태영프라자 502호 ",서울,양천구,목동,126.864166285292,37.5328851583631,약국,1147054000.0
65,1291,신목약국,"서울특별시 양천구 목동중앙로 85, 지하1층 104호 ",서울,양천구,목동,126.871488815731,37.5370101136194,약국,1147054000.0
66,1504,오이한약국,"서울특별시 양천구 목동중앙본로7길 37, 101호 ",서울,양천구,목동,126.866662627055,37.5394085399755,약국,1147054000.0
67,1660,나눔약국,"서울특별시 양천구 목동중앙로 95, ",서울,양천구,목동,126.872221602892,37.5376395363687,약국,1147054000.0
68,2093,정문약국,"서울특별시 양천구 목동중앙남로4길 3, 1층 ",서울,양천구,목동,126.867466277108,37.5365585915399,약국,1147054000.0
69,2947,햇살온누리약국,"서울특별시 양천구 목동중앙로 71, 2층 ",서울,양천구,목동,126.870194217249,37.5360244453731,약국,1147054000.0
70,2981,하루약국,"서울특별시 양천구 등촌로 32, 목동 태영프라자 2층 204-2호 ",서울,양천구,목동,126.864166285292,37.5328851583631,약국,1147054000.0
71,2982,365 새누리약국,"서울특별시 양천구 등촌로 32, 목동태영프라자 102호 ",서울,양천구,목동,126.864166285292,37.5328851583631,약국,1147054000.0
72,3058,코코약국,"서울특별시 양천구 등촌로 32, 목동태영프라자 106호 ",서울,양천구,목동,126.864166285292,37.5328851583631,약국,1147054000.0
73,4584,팜코리아약국,"서울특별시 양천구 등촌로 26, 1층 101호 ",서울,양천구,목동,126.8640529534,37.5323056846465,약국,1147054000.0
74,5374,홍익후문약국,"서울특별시 양천구 목동중앙서로2길 9, 1층 ",서울,양천구,목동,126.864567100541,37.5320295781152,약국,1147054000.0
75,194,일등약국,"서울특별시 양천구 목동중앙북로 21, 102호 ",서울,양천구,목동,126.866159640554,37.5484817493435,약국,1147053000.0
76,229,창대온누리약국,"서울특별시 양천구 목동중앙북로 13-1, ",서울,양천구,목동,126.86515030549,37.5485648442936,약국,1147053000.0
77,361,효자동약국,"서울특별시 양천구 목동중앙북로7길 21, 1층 3호 ",서울,양천구,목동,126.867452862694,37.5489939838862,약국,1147053000.0
78,467,제일약국,"서울특별시 양천구 목동중앙남로11길 4, ",서울,양천구,목동,126.865768037008,37.5394905085373,약국,1147053000.0
79,482,무지개약국,"서울특별시 양천구 등촌로 214, ",서울,양천구,목동,126.863699365993,37.5486078678767,약국,1147053000.0
80,2365,목동세명약국,"서울특별시 양천구 목동중앙북로 27, ",서울,양천구,목동,126.866559971213,37.5483132652872,약국,1147053000.0
81,2926,보룡약국,"서울특별시 양천구 목동중앙북로 3, ",서울,양천구,목동,126.864035750314,37.5488217922193,약국,1147053000.0
82,3012,새서울온누리약국,"서울특별시 양천구 공항대로 558, 1층 ",서울,양천구,목동,126.86740663272,37.5492829721359,약국,1147053000.0
83,3056,올리브약국,"서울특별시 양천구 등촌로 230, 동방빌딩 1층 ",서울,양천구,목동,126.864188157127,37.5500824636807,약국,1147053000.0
84,3057,봄약국,"서울특별시 양천구 등촌로 188, 102호 ",서울,양천구,목동,126.863053728176,37.5464047208659,약국,1147053000.0
85,3337,믿음약국,"서울특별시 양천구 목동중앙북로7가길 61, 103호 ",서울,양천구,목동,126.864177143999,37.5497281786642,약국,1147053000.0
86,3735,박약국,"서울특별시 양천구 목동중앙북로 10, ",서울,양천구,목동,126.864703900749,37.548427021542,약국,1147053000.0
87,4261,보미진온누리약국,"서울특별시 양천구 등촌로 224, ",서울,양천구,목동,126.86404437345,37.5495569263704,약국,1147053000.0
88,4460,가람약국,"서울특별시 양천구 공항대로 564, 1층 5호 ",서울,양천구,목동,126.86787195618,37.5490944643642,약국,1147053000.0
89,5020,대우마이빌약국,"서울특별시 양천구 공항대로 552, 1층 ",서울,양천구,목동,126.866949534355,37.549554018744,약국,1147053000.0
90,1170,우리들약국,"서울특별시 양천구 목동중앙본로28길 1, 1층 ",서울,양천구,목동,126.870653610803,37.5438676988813,약국,1147052000.0
91,2128,햇살애약국,"서울특별시 양천구 목동중앙북로 95, ",서울,양천구,목동,126.873850852633,37.5463373712854,약국,1147052000.0
92,2314,신국경약국,"서울특별시 양천구 목동중앙본로 113, 2동 104호 ",서울,양천구,목동,126.870850537297,37.5456837871694,약국,1147052000.0
93,2818,서강약국,"서울특별시 양천구 목동중앙본로 126, ",서울,양천구,목동,126.871855346216,37.5466319213754,약국,1147052000.0
94,3013,더선약국,"서울특별시 양천구 공항대로 630, 1층 ",서울,양천구,목동,126.874714381046,37.5465353390135,약국,1147052000.0
95,3405,드림온누리약국,"서울특별시 양천구 목동중앙본로 68-1, ",서울,양천구,목동,126.869331411769,37.5419076516506,약국,1147052000.0
96,3406,팜빌편안약국,"서울특별시 양천구 목동중앙본로 40, 1층 ",서울,양천구,목동,126.869051879039,37.5396690796033,약국,1147052000.0
97,3737,보람약국,"서울특별시 양천구 목동중앙본로 97, ",서울,양천구,목동,126.870539422538,37.5443993432268,약국,1147052000.0
98,3835,보생약국,"서울특별시 양천구 공항대로 624, ",서울,양천구,목동,126.874114547813,37.5466539031566,약국,1147052000.0
99,4331,성심약국,"서울특별시 양천구 목동중앙북로 128, ",서울,양천구,목동,126.877376663845,37.5462762134359,약국,1147052000.0
