line_name,name,address,road_address,x,y,city_name,county_name,town_name
경의중앙,서빙고,서울특별시 용산구 서빙고동 241-98,서울특별시 용산구 서빙고로 238,126.990048630943,37.5199555398566,서울,용산구,서빙고동
경의중앙,용산,서울특별시 용산구 한강로3가 40-999,서울특별시 용산구 한강대로 23길 55,126.964741503485,37.5297718014452,서울,용산구,한강로3가
경의중앙,이촌,서울특별시 용산구 용산동5가 17-98,서울특별시 용산구 이촌로71길 42,126.973595696064,37.5222293914391,서울,용산구,이촌동
경의중앙,한남,서울시 용산구 한남동,서울특별시 용산구 독서당로6길 12-13,127.008249820572,37.5291881521046,서울,용산구,한남동
경의중앙,효창공원앞,서울특별시 용산구 효창동 80,서울특별시 용산구 원효로 71길 40,126.960983585874,37.5396223423102,서울,용산구,효창동
경의중앙,디지털미디어시티,서울 은평구 수색동 37-2,서울특별시 은평구 수색로 193,126.900250572829,37.577876499679,서울,은평구,수색동
경의중앙,수색,서울 은평구 수색동 81,서울특별시 은평구 수색로 261-1  ,126.895659201671,37.5808147253405,서울,은평구,수색동
경춘,망우,서울특별시 중랑구 상봉동 172,서울특별시 중랑구 망우로 55길 11-10,127.092756577852,37.5992876153903,서울,중랑구,상봉동
경춘,상봉,서울특별시 중랑구 상봉동 100-46,서울특별시 중랑구 망우로 297,127.085741817289,37.5967093285386,서울,중랑구,상봉동
경춘,신내,서울특별시 중랑구 망우동 320-2,서울특별시 중랑구 신내역로 20,127.103222049319,37.6127905258724,서울,중랑구,망우동
경춘,중랑,서울특별시 중랑구 중화동 73-7,서울특별시 중랑구 중랑역로 9,127.075728956656,37.5948240960274,서울,중랑구,중화동
경의중앙,망우,서울특별시 중랑구 상봉동 172,서울특별시 중랑구 망우로 55길 11-10,127.092756577852,37.5992876153903,서울,중랑구,상봉동
경의중앙,상봉,서울특별시 중랑구 상봉동 100-46,서울시 중랑구 망우로 297,127.085741817289,37.5967093285386,서울,중랑구,상봉동
경의중앙,양원(서울시북부병원),서울특별시 중랑구 망우동 269-5,서울시 중랑구 송림길 147,127.107921489043,37.606554361502,서울,중랑구,망우동
경의중앙,중랑,서울특별시 중랑구 중화동 73-7,서울특별시 중랑구 중랑역로3길 28  ,127.074891341427,37.5950189743222,서울,중랑구,중화동
수인분당,청량리,서울특별시 동대문구 전농동 588-1,서울특별시 동대문구 왕산로 214,127.05114503929,37.584197400389,서울,동대문구,전농동
경춘,청량리,서울특별시 동대문구 전농동 588-1,서울특별시 동대문구 왕산로 214,127.05114503929,37.584197400389,서울,동대문구,전농동
경춘,회기,서울특별시 동대문구 휘경동 317-101,서울특별시 동대문구 회기로 196,127.058035421223,37.5897442387671,서울,동대문구,휘경동
경의중앙,청량리,서울특별시 동대문구 전농동 588-1,서울특별시 동대문구 왕산로 214 청량리역,127.05114503929,37.584197400389,서울,동대문구,전농동
경의중앙,회기,서울특별시 동대문구 휘경동 317-102,서울특별시 동대문구 회기로 196,127.058035421223,37.5897442387671,서울,동대문구,휘경동
경의중앙,가좌,서울특별시 서대문구 남가좌동 296-12,서울시 서대문구 수색로 27,126.915149791265,37.5688870324193,서울,서대문구,남가좌동
경의중앙,신촌,서울특별시 신촌동 74-12,서울특별시 서대문구 신촌역로 30,126.942386979371,37.5598241279561,서울,서대문구,신촌동
