Unnamed: 0,id,name,address,city_name,county_name,town_name,type,x,y,data_type,h_code
0,88,삼익패션타운,서울특별시 중구 남대문시장8길 7 ,서울,중구,남창동,쇼핑센터,126.978956614349,37.5604352919962,마트,1114054000
9,53,누죤,서울특별시 중구 을지로45길 62 ,서울,중구,신당동,쇼핑센터,127.013008334406,37.5669477713142,마트,1114061500
10,80,(주)광희패션몰,서울특별시 중구 마장로1길 21 ,서울,중구,신당동,쇼핑센터,127.011915526088,37.5686729331271,마트,1114061500
11,90,디자이너크럽,서울특별시 중구 을지로45길 72 ,서울,중구,신당동,쇼핑센터,127.013071008776,37.5674049296835,마트,1114061500
12,92,혜양엘리시움,서울특별시 중구 마장로1길 18 ,서울,중구,신당동,쇼핑센터,127.012580309153,37.5686635839046,마트,1114061500
13,118,DDP FASHION MALL,서울특별시 중구 마장로 22 ,서울,중구,신당동,쇼핑센터,127.012111462314,37.5672655578674,마트,1114061500
16,143,(주)에리어식스,서울특별시 중구 마장로 19 ,서울,중구,신당동,쇼핑센터,127.011973962004,37.5681416100756,마트,1114061500
17,146,아트프라자,서울특별시 중구 마장로1길 28 ,서울,중구,신당동,쇼핑센터,127.012827274623,37.569192892231,마트,1114061500
18,147,남산타운5상가,서울특별시 중구 다산로 32 ,서울,중구,신당동,복합쇼핑몰,127.005706247221,37.5471505540187,마트,1114063500
19,148,올레오,서울특별시 중구 마장로1길 22 ,서울,중구,신당동,쇼핑센터,127.012687655618,37.5688944975891,마트,1114061500
20,149,남산타운2상가,서울특별시 중구 다산로 32 ,서울,중구,신당동,쇼핑센터,127.005706247221,37.5471505540187,마트,1114063500
23,162,에이피엠패션몰,서울특별시 중구 마장로 40 ,서울,중구,신당동,쇼핑센터,127.014033422257,37.5677236816149,마트,1114061500
25,167,디오트,서울특별시 중구 다산로 293 ,서울,중구,신당동,쇼핑센터,127.014991766546,37.5691596607746,마트,1114061500
26,704,남평화상가(주),서울특별시 중구 장충단로 282-10 ,서울,중구,신당동,쇼핑센터,127.010835959946,37.5691711976069,마트,1114061500
33,168,베네치아메가몰,서울특별시 중구 청계천로 400 ,서울,중구,황학동,복합쇼핑몰,127.021463886656,37.5708105464699,마트,1114067000
34,169,엠플라자(M plaza),서울특별시 중구 명동8길 27 ,서울,중구,명동2가,쇼핑센터,126.985166774442,37.5625312330845,마트,1114055000
35,172,눈스퀘어,서울특별시 중구 명동길 14 ,서울,중구,명동2가,쇼핑센터,126.98288772495,37.5634116488196,마트,1114055000
37,155,롯데아울렛 서울역점,서울특별시 중구 한강대로 405 ,서울,중구,봉래동2가,복합쇼핑몰,126.969526329341,37.5547278494914,마트,1114054000
38,156,롯데아울렛 서울역점,서울특별시 중구 한강대로 405 ,서울,중구,봉래동2가,복합쇼핑몰,126.969526329341,37.5547278494914,마트,1114054000
42,150,현대시티타워,서울특별시 중구 장충단로 13-20 ,서울,중구,을지로6가,복합쇼핑몰,127.007035,37.5680076,마트,1114059000
43,153,통일상가,서울특별시 중구 장충단로13길 20 ,서울,중구,을지로6가,쇼핑센터,127.007666479829,37.568734553218,마트,1114059000
44,157,밀리오레,서울특별시 중구 장충단로 263 ,서울,중구,을지로6가,쇼핑센터,127.008472686741,37.5681156942942,마트,1114059000
45,164,헬로우에이피엠,서울특별시 중구 장충단로 253 ,서울,중구,을지로6가,쇼핑센터,127.008078935255,37.567487097159,마트,1114059000
46,170,굿모닝시티 쇼핑몰,서울특별시 중구 장충단로 247 ,서울,중구,을지로6가,쇼핑센터,127.007358177138,37.5668021171335,마트,1114059000
48,703,두타몰,서울특별시 중구 장충단로 275 ,서울,중구,을지로6가,복합쇼핑몰,127.008775114213,37.5688849422849,마트,1114059000
49,113,에이피엠플레이스,서울특별시 중구 을지로 276 ,서울,중구,을지로7가,쇼핑센터,127.00843026396,37.5653191861991,마트,1114059000
51,91,선싸인,서울특별시 중구 명동8가길 27 ,서울,중구,충무로2가,쇼핑센터,126.986563787577,37.5620005331406,마트,1114055000
52,151,하이해리엇,서울특별시 중구 퇴계로 123 ,서울,중구,충무로2가,쇼핑센터,126.985364301804,37.5612658980395,마트,1114055000
55,130,센터포인트 명동,서울특별시 중구 남대문로2가 9-1,서울,중구,남대문로2가,쇼핑센터,126.982697400493,37.5646489593288,마트,1114055000
67,626,두산아케이드,서울특별시 강남구 언주로 726 ,서울,강남구,논현동,쇼핑센터,127.035197500084,37.5193816410498,마트,1168053100
69,595,그랑프리,서울특별시 강남구 남부순환로 2912 ,서울,강남구,대치동,쇼핑센터,127.056142941592,37.4907059879875,마트,1168060000
78,600,도심공항몰(CALT MALL),서울특별시 강남구 테헤란로87길 22-0 ,서울,강남구,삼성동,복합쇼핑몰,127.059443354483,37.5096322564759,마트,1168058000
80,603,파르나스몰(PARNAS MALL),서울특별시 강남구 테헤란로 521 ,서울,강남구,삼성동,복합쇼핑몰,127.06080691987,37.5091916919873,마트,1168058000
81,604,코엑스 호텔아케이드,서울특별시 강남구 봉은사로 524 ,서울,강남구,삼성동,복합쇼핑몰,127.057250899584,37.5128320848839,마트,1168058000
82,605,코엑스 몰,서울특별시 강남구 영동대로 513 ,서울,강남구,삼성동,복합쇼핑몰,127.059159043842,37.5118239121138,마트,1168058000
97,633,더 샵스 앳 센터필드 (THE SHOPS AT CENTERFIELD),서울특별시 강남구 테헤란로 231,서울,강남구,역삼동,복합쇼핑몰,127.041356540268,37.5028813541774,마트,1168064000
108,668,강동한신휴플러스,서울특별시 강동구 진황도로 99 ,서울,강동구,길동,쇼핑센터,127.137473996228,37.5360846941657,마트,1174068500
109,670,동서울오네뜨상가,서울특별시 강동구 양재대로124길 32 ,서울,강동구,길동,쇼핑센터,127.143653765609,37.5426089532686,마트,1174068500
113,674,주양쇼핑,서울특별시 강동구  고덕로62길  55 ,서울,강동구,명일동,쇼핑센터,127.153459033904,37.5523961426953,마트,1174054000
127,701,이천일아울렛 천호점,서울특별시 강동구 구천면로 189 ,서울,강동구,천호동,쇼핑센터,127.125536352486,37.5415920129665,마트,1174061000
133,317,연이스퀘어,서울특별시 강북구 도봉로 52 ,서울,강북구,미아동,쇼핑센터,127.03052852605,37.613699372646,마트,1130554500
135,323,트레지오,서울특별시 강북구 도봉로 34 ,서울,강북구,미아동,복합쇼핑몰,127.03072164571,37.6120685327599,마트,1130554500
141,318,수유프라자,서울특별시 강북구 도봉로 261 ,서울,강북구,수유동,쇼핑센터,127.02346745196,37.6316925338476,마트,1130561500
142,319,수유프라자,서울특별시 강북구 도봉로 261 ,서울,강북구,수유동,쇼핑센터,127.02346745196,37.6316925338476,마트,1130561500
151,108,원 웨스트 몰,서울특별시 강서구 공항대로 지하163,서울,강서구,마곡동,복합쇼핑몰,126.825547992125,37.5601984535897,마트,1150062000
158,698,롯데몰 김포공항,서울특별시 강서구 하늘길 38 ,서울,강서구,방화동,복합쇼핑몰,126.80296035927,37.5713698504776,마트,1150064000
175,552,관악쇼핑,서울특별시 관악구 청림3길 10 ,서울,관악구,봉천동,쇼핑센터,126.95950602146,37.4886505222551,마트,1162054500
185,569,라붐아울렛,서울특별시 관악구 남부순환로 1820 ,서울,관악구,봉천동,쇼핑센터,126.952083773717,37.4809479979455,마트,1162059500
186,716,롯데쇼핑(주) 관악점,서울특별시  봉천로 209,서울,관악구,봉천동,쇼핑센터,126.924981674031,37.4904954867064,마트,1162052500
187,550,일성트루엘상가,서울특별시 관악구 신림로23길 16 ,서울,관악구,신림동,쇼핑센터,126.934476782389,37.4704811658789,마트,1162073500
191,568,르네상스쇼핑몰(주),서울특별시 관악구 신림로 340 ,서울,관악구,신림동,복합쇼핑몰,126.930096548294,37.4847625375982,마트,1162069500
203,222,파크에비뉴,서울특별시 광진구 광나루로 369 ,서울,광진구,군자동,쇼핑센터,127.071049482737,37.5484610827889,마트,1121573000
210,232,커먼그라운드,서울특별시 광진구 아차산로 200 ,서울,광진구,자양동,쇼핑센터,127.065669226745,37.5410566332301,마트,1121584700
225,41,고척아이파크쇼핑센터,서울특별시 구로구 고척동 100-7,서울,구로구,고척동,쇼핑센터,126.858700234963,37.4986663995985,마트,1153072000
226,217,이천일 아울렛 구로점,서울특별시 구로구 중앙로1길 36 ,서울,구로구,고척동,복합쇼핑몰,126.862677366638,37.4980725516017,마트,1153072000
227,454,개봉프라자,서울특별시 구로구 고척동 269번지,서울,구로구,고척동,쇼핑센터,126.8511678,37.5020213,마트,1153073000
232,470,고척스카이프라자,서울특별시 구로구 중앙로 64 ,서울,구로구,고척동,쇼핑센터,126.862833580926,37.5037992525197,마트,1153072000
